cell,cycle_name,rpt_index,cycle_number,capacity_Ah,capacity_mAh,temp_mean,temp_max,temp_min,temp_std,n_charge_points,v_min_charge,v_max_charge,source_file,pmax_full_32_42,pmax_voltage_full_32_42,ic_area_full_32_42,ic_mean_full_32_42,ic_std_full_32_42,peak_width_full_32_42,charge_time_window_full_32_42,q_delta_window_full_32_42,dva_mean_full_32_42,dva_std_full_32_42,dva_abs_mean_full_32_42,temp_mean_window_full_32_42,temp_max_window_full_32_42,pmax_medium_35_40,pmax_voltage_medium_35_40,ic_area_medium_35_40,ic_mean_medium_35_40,ic_std_medium_35_40,peak_width_medium_35_40,charge_time_window_medium_35_40,q_delta_window_medium_35_40,dva_mean_medium_35_40,dva_std_medium_35_40,dva_abs_mean_medium_35_40,temp_mean_window_medium_35_40,temp_max_window_medium_35_40,pmax_narrow_36_385,pmax_voltage_narrow_36_385,ic_area_narrow_36_385,ic_mean_narrow_36_385,ic_std_narrow_36_385,peak_width_narrow_36_385,charge_time_window_narrow_36_385,q_delta_window_narrow_36_385,dva_mean_narrow_36_385,dva_std_narrow_36_385,dva_abs_mean_narrow_36_385,temp_mean_window_narrow_36_385,temp_max_window_narrow_36_385,pmax_very_narrow_365_38,pmax_voltage_very_narrow_365_38,ic_area_very_narrow_365_38,ic_mean_very_narrow_365_38,ic_std_very_narrow_365_38,peak_width_very_narrow_365_38,charge_time_window_very_narrow_365_38,q_delta_window_very_narrow_365_38,dva_mean_very_narrow_365_38,dva_std_very_narrow_365_38,dva_abs_mean_very_narrow_365_38,temp_mean_window_very_narrow_365_38,temp_max_window_very_narrow_365_38,soh,pmax_norm_full_32_42,pmax_norm_medium_35_40,pmax_norm_narrow_36_385,pmax_norm_very_narrow_365_38,soh_rolling_median,soh_delta,soh_outlier
Cell01,cyc_00000,0,0.0,5.10509415908011,5105.09415908011,21.742105975132493,24.15564,20.59104,0.8473762357612126,7359,2.8960555,4.2004633,OCV_wExpansion.csv,19626.590980977293,3.636923725701378,5045.442195858398,7733.368209134643,4496.702163306989,0.709116627239823,72504.14746560596,5040.876050045073,0.00020828976559334318,0.0002602195199165797,0.00020828976559334318,21.791928590809285,24.15564,20046.92058537141,3.636923725701378,3809.3513514885844,8924.771856399846,4400.419055143739,0.2318429673303184,54860.00260571016,3812.565025648755,0.00013780113164245296,5.589133801300142e-05,0.00013780113164245296,21.429431435284066,22.935753,21388.762325030308,3.636923725701378,2329.9167855609135,10887.957523838882,4678.711824989677,0.10087721113122239,33550.0015935395,2331.3265507384394,0.00011371982492114535,5.589282825787999e-05,0.00011371982492114535,21.19032606733259,21.707947,19924.175853981924,3.6506375735746808,1424.4080573064507,11018.380962253299,4351.925638262595,0.08181685773755731,20510.000974172697,1425.584039531816,0.00011178012274564541,5.931476284031815e-05,0.00011178012274564541,21.177592535800972,21.565363,1.0,1.0,1.0,1.0,1.0,0.9456190529227664,,True
Cell01,cyc_00041,1,41.0,4.82747430379088,4827.47430379088,23.17108761261132,24.353674,19.672163,0.6165284012379288,6962,3.0204384,4.2003841,OCV_wExpansion.csv,17861.78091079997,3.6346523714027352,4788.130886260127,7252.027190396998,4077.160757763909,0.7091797434389178,68754.50327738722,4779.607001471801,0.00021730508407582044,0.00026885844024767894,0.00021730508407582044,23.18545334354129,24.250696,18166.45180206797,3.6346523714027352,3591.7113218119293,8331.618155347069,3964.4770488696063,0.23253267565611013,51700.00245561824,3592.5537076905953,0.00014552754491214316,5.684543200249682e-05,0.00014552754491214316,23.293861420864914,23.822943,18627.90783183268,3.6346523714027352,2172.538244348657,10055.211482096935,4214.449333017583,0.10988704678733097,31270.0014852453,2173.008175204941,0.00012178517209178391,5.765018232910313e-05,0.00012178517209178391,23.3349050647036,23.751652,17992.021094886255,3.650897954389161,1357.1366182364097,10269.898192692874,3813.67849719991,0.08252421628959361,19540.0009281002,1357.4768997264032,0.00011628862795680031,5.6340726279990703e-05,0.00011628862795680031,23.381379757973733,23.751652,0.9456190529227664,0.9100806618995713,0.9061966262950306,0.8709203248302626,0.9030246082319374,0.9321693998664655,-0.05438094707723362,False
Cell01,cyc_00059,2,59.0,4.69015081327213,4690.15081327213,24.74049304125388,25.676537,23.521933,0.5383017969992004,6763,3.0153182,4.2003841,OCV_wExpansion.csv,17177.95743958499,3.640919303529432,4651.700614254155,6986.405260711039,3789.052391004824,0.25323158633484333,66819.17122016729,4644.404265969709,0.00022231764027229512,0.0002823859669770797,0.00022231764027229512,24.70728149282855,25.64485,17704.54840161522,3.642666001719477,3503.6351806305174,8067.98865739641,3714.6118033144203,0.24565062533936732,50460.002409455294,3505.1560684374626,0.0001485305475600475,5.6360649353795055e-05,0.0001485305475600475,24.857054967060428,25.636929,18074.731677232845,3.6431569745701564,2100.233443171705,9692.420351336255,3945.1999298210967,0.12335685212669745,30250.001436797902,2101.666385636831,0.00012472036899353423,5.6848176211549626e-05,0.00012472036899353423,24.97947033095238,25.605242,17956.939371312616,3.652244800362011,1361.222036451763,10177.285830715762,3637.5075178272987,0.09568985692307752,19600.000930949995,1362.0713376003423,0.00011513566519662173,5.1866294053902736e-05,0.00011513566519662173,24.981127498450093,25.446815,0.9187197468101648,0.8752389783959121,0.8831555114023119,0.8450573905382454,0.901263846641057,0.9187197468101648,-0.026899306112601606,False
Cell01,cyc_00098,3,98.0,4.57836303997946,4578.36303997946,23.16806341353725,23.957605,22.571373,0.2452187818498117,6604,3.0160666,4.2003841,OCV_wExpansion.csv,16579.19203471584,3.6451619637104278,4541.62012077104,6864.484738385875,3692.542758838738,0.7023525419909546,65220.8171347022,4533.560901325268,0.00022673804263109552,0.00029150255661828447,0.00022673804263109552,23.15922799422848,23.957605,16914.571168386057,3.6451619637104278,3454.5546091334854,7961.860339383894,3598.2724050292027,0.24225908751131353,49740.002365872904,3456.1692599188573,0.0001501710117547563,5.732022351842447e-05,0.0001501710117547563,23.18799487505721,23.957605,17615.523744950806,3.6451619637104278,2039.1561724807002,9440.312939040836,3841.7998650782247,0.10999181927601853,29370.0013950001,2039.9287760123898,0.0001281037471875042,5.855677356963334e-05,0.0001281037471875042,23.171970543909346,23.712044,17664.344491489526,3.6511709941176678,1366.3699000738266,10164.626491393914,3499.4779338736776,0.08729585864253409,19670.0009342748,1366.5869860513747,0.00011345793153807005,4.766409581129611e-05,0.00011345793153807005,23.129702240615384,23.609066,0.8968224477968175,0.8447311125393561,0.843749098339269,0.823587801727833,0.8865784271804266,0.8968224477968175,-0.02189729901334725,False
Cell01,cyc_00134,4,134.0,4.48010515738194,4480.10515738194,21.178952885055693,22.143621,20.464296,0.3139211510903125,6464,3.0172875,4.200345,OCV_wExpansion.csv,16518.113160711964,3.6383772371945904,4443.429945938489,6739.837500847792,3605.307492116555,0.2498587957466074,63816.26703447341,4434.115050632958,0.00023090920015840128,0.000299754672570701,0.00023090920015840128,21.186418729350653,22.143621,16788.568282375414,3.6383772371945904,3403.4106057151666,7820.789026174407,3497.5891851467054,0.2498587957466074,49000.00232737509,3404.285426284759,0.00015204266736803005,5.7160722139642594e-05,0.00015204266736803005,21.045287157748437,21.692104,17156.20316302545,3.6473387464253597,1993.7891012462094,9225.869643588787,3752.0095987944283,0.1215886577375569,28710.0013636519,1994.403420188934,0.0001306739892641279,5.917844382757258e-05,0.0001306739892641279,20.937454620419928,21.486151,17377.738275612122,3.6516255640724182,1372.8498055435216,10129.571470122766,3425.6390701895266,0.09182228787330393,19780.0009394996,1373.1440269511727,0.00011268867543046366,4.458485509829148e-05,0.00011268867543046366,20.91071856731946,21.383173,0.8775754212904102,0.8416190655178903,0.8374636997677503,0.8021129461496851,0.8721935804506119,0.8775754212904102,-0.019247026506407305,False
Cell01,cyc_00175,5,175.0,4.42061304185933,4420.613041859329,26.192820460006274,27.482597,25.391367,0.4412815399119406,6376,3.0165393,4.2002664,OCV_wExpansion.csv,15500.164325545164,3.520575946877848,4384.089759198725,6581.548367135167,3403.362254869253,0.6920105733580946,62946.57698980183,4377.046580422737,0.00023476449859547173,0.00030233777517749437,0.00023476449859547173,26.20975565594233,27.482597,15775.360543182622,3.520575946877848,3347.913853050201,7615.40490152023,3266.3164180279205,0.24721805212669823,48170.00228795225,3347.3682173648717,0.00015437589794374673,5.66059551653605e-05,0.00015437589794374673,26.032124069209036,26.848894,16377.966370707149,3.6529103212669884,1949.352682164089,8870.882376505759,3464.6259793832564,0.11833653221719542,28070.001333253396,1950.2957929370423,0.0001337319472334978,5.765128591215409e-05,0.0001337319472334978,25.876257534005035,26.476591,16835.7265896922,3.6529761547511512,1355.6172703456937,9846.252836417341,3218.3257935255906,0.09071863701357419,19520.000927150202,1356.1552981973418,0.00011472031612454549,4.3051735516068764e-05,0.00011472031612454549,25.824984829919305,26.318161,0.8659219407337793,0.789753265891586,0.7869218853839417,0.7657276340642091,0.8449898612156405,0.8659219407337793,-0.011653480556630957,False
Cell01,cyc_00216,6,216.0,4.30947158845134,4309.471588451341,24.14467072161467,24.884401,23.411036,0.2587552547807564,6218,3.0183511,4.200345,OCV_wExpansion.csv,14934.644908682803,3.6555074677828254,4271.186509022904,6414.111954351647,3255.8080980963477,0.6853454882352974,61330.0029130187,4263.230159165098,0.00023990168244116252,0.00031227223594708185,0.00023990168244116252,24.153038108146824,24.884401,15223.976182612425,3.656558728959297,3266.2082820059763,7411.096097588747,3126.5384589443174,0.24368854769230897,46850.00222525558,3255.703958983571,0.0001575891825371681,5.6513747774571036e-05,0.0001575891825371681,24.089154572012504,24.884401,15686.994954791653,3.6574680973755855,1896.1376605246323,8603.545129741231,3331.9466076124254,0.1101537255203624,27300.0012966804,1896.9739125618075,0.00013707240294466908,5.7401352268039095e-05,0.00013707240294466908,23.937428403163747,24.710133,16118.91096087678,3.6574680973755855,1343.634067719679,9666.385327566119,3012.862362660481,0.09516824289592796,19330.000918125697,1343.6980948696755,0.00011541035020204363,4.060585489745695e-05,0.00011541035020204363,23.854153440940014,24.409122,0.8441512446516494,0.7609393257931512,0.759417194166052,0.7334222857969611,0.8090126828335212,0.8441512446516494,-0.021770696082129892,False
Cell01,cyc_00257,7,257.0,4.16816692077489,4168.16692077489,25.104235567248544,25.937939,24.45665,0.3021949318601987,6015,3.0193751,4.200345,OCV_wExpansion.csv,13854.452340412647,3.6499067623529617,4132.551591883302,6177.637833318568,2985.251243095116,0.6807697838009084,59333.554818192475,4124.794325660148,0.0002460657702192379,0.00032448681044689413,0.0002460657702192379,25.119248300751877,25.874569,14223.789187992816,3.6499067623529617,3151.368975124318,7100.559111567181,2844.209036351783,0.25326492769230846,45090.002141660094,3133.428433475722,0.00016221909205251086,5.608274002465234e-05,0.00016221909205251086,25.102042987660415,25.874569,14938.441765939686,3.660674390497758,1819.9629688432767,8180.664925089393,3050.6638509053005,0.12759547556561168,26200.001244433202,1820.524019881931,0.00014220799808527983,5.6637676187271344e-05,0.00014220799808527983,24.99277228721541,25.874569,15220.347943302851,3.660674390497758,1310.8855796711218,9336.195693398295,2642.3901475824905,0.10949562624434428,18870.000896277,1311.367929823976,0.00011711699921412624,3.702915500798963e-05,0.00011711699921412624,24.911817801257865,25.621086,0.8164720945178325,0.7059021280792378,0.7095248932333361,0.6984247867609384,0.763913551799986,0.8164720945178325,-0.027679150133816832,False
Cell01,cyc_00298,8,298.0,3.95327863750133,3953.27863750133,25.091540664037854,26.175579,24.171482,0.446257606345706,5706,3.020478,4.2003055,OCV_wExpansion.csv,12230.129121264621,3.6632707390950436,3921.02358925831,5794.747550021611,2567.711342926374,0.6760457603619736,56273.65467285507,3911.8573179216764,0.0002570558103451955,0.0003474373644562752,0.0002570558103451955,25.094246802865335,26.151814,12398.853062254684,3.6659132031674413,2957.67520199949,6594.912772492863,2423.228414103492,0.26624224072398306,42310.002009617165,2940.086585295556,0.00017167454921893774,5.7923629311823567e-05,0.00017167454921893774,24.92072355345586,26.064682,12909.819135915348,3.6659780789140477,1693.7443202513273,7484.928309422314,2569.3787808083966,0.1370449473303177,24380.001157987903,1694.1458760389057,0.00015219483184501342,5.694515711257406e-05,0.00015219483184501342,24.881272128003697,25.64485,13077.90189996465,3.6659780789140477,1241.9886259243285,8646.588936061848,2056.8615425818257,0.13148708859728586,17870.0008487794,1242.1861260498665,0.00012299055823403285,3.184731202959956e-05,0.00012299055823403285,24.92464962597911,25.64485,0.7743791817179085,0.6231407753449616,0.6184916535910431,0.6035795311450801,0.6563835812235607,0.7743791817179085,-0.042092912799924,False
Cell01,cyc_00339,9,339.0,3.81174955333776,3811.74955333776,24.879381250499545,25.708221,23.545696,0.4774141221034381,5505,3.0236683,4.200345,OCV_wExpansion.csv,11508.02154879275,3.669320692850699,3780.109852279321,5559.035606761913,2335.2061335711073,0.6679459957466096,54228.27057570456,3771.069620647485,0.0002667146426310519,0.0003678889644907709,0.0002667146426310519,24.887941042431418,25.708221,11621.533675521398,3.669320692850699,2827.188494381165,6288.068101595622,2187.0177567497667,0.25980284959276156,40510.00192412171,2814.934401181231,0.00017876927937354007,6.521802935763607e-05,0.00017876927937354007,24.92132738929244,25.64485,11813.18300733199,3.669320692850699,1635.8976800480157,7125.686347116112,2305.4805349042094,0.14388382325791937,23550.001118565022,1636.4553361459666,0.00015652153084609493,5.184156595799594e-05,0.00015652153084609493,25.010377166824643,25.494345,11982.859076709223,3.669320692850699,1188.8226016010296,8240.601190569587,1831.9243492028456,0.1414901692307695,17110.0008126814,1189.0293632205205,0.00012792097101348328,3.0391451177553486e-05,0.00012792097101348328,25.050193024324322,25.454739,0.7466560722603011,0.5863484677469809,0.5797166515440698,0.5523079282389123,0.6014230733821997,0.7605176269891047,-0.027723109457607475,False
Cell01,cyc_00380,10,380.0,3.54364290630496,3543.64290630496,26.969290703457705,27.609341,26.175579,0.2931620289208506,5119,3.0259132,4.2003841,OCV_wExpansion.csv,9585.820249747487,3.680347793936672,3512.6855609439954,5091.746605335324,1850.3135816068157,0.6618922697737593,50392.21839350188,3504.0054788657217,0.0002831506573335574,0.0003940522184511188,0.0002831506573335574,26.976139092677826,27.609341,9693.822334793325,3.680347793936672,2576.8936713897438,5680.441390541518,1691.3740786484352,0.4273411721266993,36970.00175598074,2569.6077730592324,0.00019460085168356627,7.841379975245157e-05,0.00019460085168356627,27.05213633583815,27.609341,9960.07883641937,3.680347793936672,1491.2906310955352,6360.44897218801,1725.7639021746336,0.1587231114027161,21460.00101929532,1491.5922503967959,0.00016971576183135147,4.726608428624994e-05,0.00016971576183135147,27.081785101061143,27.609341,10054.95926348381,3.6854761033484364,1057.792488143502,7256.348142809861,1291.1589010733903,0.14756919773755728,15220.0007229112,1057.6245909968443,0.00014240504752498342,2.6303926336461655e-05,0.00014240504752498342,27.1002456347699,27.577656,0.694138598795892,0.48840984453379416,0.4835566786186143,0.4656687790094118,0.5046612385462502,0.7466560722603011,-0.05251747346440905,True
Cell03,cyc_00000,0,0.0,4.93819464654365,4938.19464654365,24.310460224926153,24.757662,23.712044,0.12635267225784277,7109,3.0933039,4.2000299,OCV_wExpansion.csv,18393.81672436388,3.635458907601831,4914.541244283274,7404.4250025097745,4172.978597953819,0.26296485185520435,70644.92538314358,4908.871259288757,0.00021282145865382407,0.00025875511684405564,0.00021282145865382407,24.30989428557754,24.757662,18869.803652105184,3.635458907601831,3646.650079571241,8492.84242369115,4088.9947697299376,0.23087152959276125,52490.0024931412,3647.520721731077,0.00014359999814327436,5.775533768527957e-05,0.00014359999814327436,24.291336430081483,24.757662,19415.980286004484,3.635458907601831,2243.1285344623925,10430.245461066459,4307.241129591912,0.11095744380090578,32290.0015336927,2244.2023730039264,0.00011788818985792237,5.921989448427246e-05,0.00011788818985792237,24.28860458358663,24.757662,18823.971731787806,3.650261555475134,1376.1386286596096,10608.094230219433,3988.952605732376,0.08087025221719513,19820.0009413995,1376.841635165607,0.00011466448527735995,6.172696789701967e-05,0.00011466448527735995,24.288840352941175,24.686369,1.0,1.0,1.0,1.0,1.0,0.97194358409899,,False
Cell03,cyc_00005,1,5.0,4.79964660374008,4799.6466037400805,24.356788458900144,24.87648,23.815022,0.14948907537112993,6910,3.1655784,4.2000299,OCV_wExpansion.csv,18008.068897991034,3.635881537285088,4796.179072295547,7259.869476906401,4086.288011294298,0.24500600452488808,68937.4593315222,4789.721378491507,0.0002167580156102255,0.0002637666498688157,0.0002167580156102255,24.353601818861783,24.87648,18411.05835062561,3.635881537285088,3572.6440093265774,8355.75223961185,3994.4012222372767,0.2313342893212682,51440.00380132701,3573.454609687821,0.00014561706520146178,5.805635701270565e-05,0.00014561706520146178,24.364599248379164,24.844795,19112.664284600414,3.635881537285088,2171.717750504035,10165.703905137558,4232.303322499658,0.1123660571945706,31260.002186319995,2172.2352122975312,0.00012091487711963859,5.953472138375444e-05,0.00012091487711963859,24.359528085262347,24.821032,18135.811501875927,3.651239658280563,1365.199781213399,10359.766241862153,3810.19089411411,0.0813589341176475,19660.001393895014,1365.399890752434,0.00011513570069887559,5.70271761255979e-05,0.00011513570069887559,24.341778320472933,24.718054,0.97194358409899,0.9790283967621631,0.9756889202486009,0.9843780227968861,0.96344234682685,0.9642919566274226,-0.028056415901010046,False
Cell03,cyc_00010,2,10.0,4.7240761521052,4724.0761521052,24.327031765916775,24.749741,23.743731,0.12761145896426934,6801,3.1808605,4.2000299,OCV_wExpansion.csv,17805.449777609734,3.6384019767421014,4723.745275236834,7120.306840231987,3975.1322565697114,0.24887588524887017,67893.7107953389,4717.005724686996,0.00021998367219140425,0.00026763923452216386,0.00021998367219140425,24.32626999687294,24.749741,18122.77091873121,3.6384019767421014,3539.203982614003,8215.330048135858,3876.83340930901,0.2356725829864268,50970.00329690131,3541.174273260939,0.00014752385038082158,5.836062003211088e-05,0.00014752385038082158,24.339955785488957,24.749741,18656.138659041888,3.6409290032579396,2127.316039434753,9924.079167777787,4129.570169490815,0.10974012171945757,30640.001678132016,2128.8597610921274,0.00012374516258634782,6.043648240054433e-05,0.00012374516258634782,24.361836960676367,24.749741,18560.010385143123,3.6508907476018306,1369.193234841488,10274.640781321932,3699.218987118773,0.08262517203619968,19720.000991747,1370.04039223218,0.00011432015920736655,5.258370774339039e-05,0.00011432015920736655,24.35986349846154,24.749741,0.9566403291558553,0.9680127862764439,0.9604112079199811,0.9608651422297586,0.9859773829664792,0.9566403291558553,-0.01530325494313467,False
Cell03,cyc_00015,3,15.0,4.66554441089788,4665.54441089788,24.3058309584636,24.702211,23.656595,0.11325125405559389,6717,3.1837749,4.2000299,OCV_wExpansion.csv,17613.92022246337,3.640667899366536,4666.639592099324,7050.2292938759865,3911.2007933720024,0.2444718697737569,67072.1606236633,4659.917934856871,0.00022218162882282384,0.00027205940839209017,0.00022218162882282384,24.305130204937047,24.702211,17986.492593135546,3.640667899366536,3514.981813531129,8164.072201027167,3812.6406859640406,0.234078748687784,50620.0031495647,3516.8729907457146,0.00014815432323068056,5.865021730019224e-05,0.00014815432323068056,24.311655605643338,24.662605,19020.066886768018,3.6421184140271694,2094.824619442855,9792.94251896451,4087.153006206541,0.10252729167420904,30160.001526417997,2095.484823269803,0.00012537791916516063,6.110114251461134e-05,0.00012537791916516063,24.314198387186632,24.662605,18721.810629204363,3.6508296720362194,1375.0947231278808,10278.372450033648,3654.3707011729975,0.07690241927601837,19790.000995266993,1375.4364260898967,0.00011319468433514571,4.9344762403519345e-05,0.00011319468433514571,24.319443962622554,24.662605,0.9447874668454789,0.9576000721553627,0.9531891759312985,0.9796088895124265,0.9945728189545183,0.9447874668454789,-0.01185286231037641,False
Cell03,cyc_00023,4,23.0,4.588762261441,4588.762261441,24.22625141008174,24.662605,23.696203,0.12360185522302787,6606,3.1927552,4.2000299,OCV_wExpansion.csv,16864.156022546133,3.642562928144817,4593.129428350072,6922.681156220555,3797.0021278366885,0.24688859149321418,66006.4448249744,4585.8232907254605,0.00022579366689792505,0.00027970616943029803,0.00022579366689792505,24.226232677065763,24.662605,17141.013978549654,3.642562928144817,3484.6213947394326,8054.539753138084,3691.1374739488174,0.24331508063348561,50170.00338322979,3485.817366994169,0.0001493347646908377,5.8412248631208045e-05,0.0001493347646908377,24.2461344224,24.662605,17809.706407598933,3.642562928144817,2055.8427140127033,9570.20261806483,3931.9876149768093,0.11460291185520433,29600.001758333005,2056.4058103081884,0.00012735996129346381,6.0705498066331385e-05,0.00012735996129346381,24.243205508474574,24.607155,17657.301353173294,3.650614998371061,1382.310461587342,10228.455892406257,3517.3988580397863,0.09120757194570173,19900.00110197399,1382.3804996976296,0.00011208097409750639,4.506356306333236e-05,0.00011208097409750639,24.24921762201835,24.607155,0.9292388392694839,0.9168383199234769,0.9083832717378244,0.9172705238291062,0.9380220925085448,0.9292388392694839,-0.015548627575994955,False
Cell03,cyc_00028,5,28.0,4.53322277837579,4533.22277837579,24.222747313515175,24.670525,23.704123,0.12657069373059532,6526,3.201499,4.2000299,OCV_wExpansion.csv,16427.028989890274,3.644425624705902,4539.647762518283,6834.858727745877,3709.651999556666,0.2512589423529423,65238.68431716811,4532.312067837989,0.00022796780168522166,0.0002831875030395558,0.00022796780168522166,24.219180139277185,24.646763,16830.99601544476,3.644425624705902,3459.680053697258,7963.994532094793,3603.8744070650746,0.2500091322171958,49820.00289739309,3460.9331113450817,0.00015059418430326806,5.8731230518040465e-05,0.00015059418430326806,24.241670725580324,24.646763,17479.552733257333,3.6477543137556765,2028.0438388442437,9386.39160128206,3848.7608681584984,0.12150579972850828,29190.0014680077,2028.395667937481,0.00012965992116671077,6.141194104753357e-05,0.00012965992116671077,24.27471517620605,24.646763,17633.798484529423,3.6507201303167625,1381.9399514636702,10137.480246455609,3471.1487943947186,0.10001866235294177,19890.001000296994,1382.0700737098873,0.00011268259478677489,4.4174503530692295e-05,0.00011268259478677489,24.281035450824678,24.646763,0.9179919186759257,0.8930734298407756,0.891953955947339,0.9002663000156126,0.9367735319508288,0.9179919186759257,-0.011246920593558252,False
Cell03,cyc_00036,6,36.0,4.46913705473771,4469.13705473771,24.13773621997511,24.559628,23.482327,0.12271244286372751,6428,3.2056739,4.2000694,OCV_wExpansion.csv,16490.851206777388,3.638411044253414,4472.47925222918,6797.411627996581,3668.251221527534,0.2445807391855217,64253.62401360141,4463.9523510522895,0.00022876856523344538,0.0002833704387646747,0.00022876856523344538,24.135829853503186,24.559628,16714.459898105637,3.638411044253414,3420.3324736974573,7912.1779949720585,3543.240104134042,0.2419903675113142,49250.00261551399,3421.310920890516,0.00015121926465111335,5.888531785387646e-05,0.00015121926465111335,24.15285955529954,24.559628,17270.1983964269,3.6454659584615587,1992.9541309202564,9268.392816251115,3761.527486198599,0.1131977348416302,28700.001443364206,1993.9590901965958,0.00013079515983959133,6.159079039438317e-05,0.00013079515983959133,24.166072380991398,24.559628,17774.977165821238,3.6515296457013777,1382.789969221823,10120.00730683687,3413.7129888590625,0.09129854914027202,19910.001001302007,1383.0121088712583,0.0001120401048434017,4.1869473507281475e-05,0.0001120401048434017,24.172765384101943,24.559628,0.9050143573959274,0.896543194590719,0.8857781567981982,0.8894837212456217,0.9442734731589538,0.9050143573959274,-0.012977561279998273,False
