experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,full_32_42,Cell01,LSTM,True,23,5,19,5,0.21677448048700101,0.2011432396689028,-23.434904298593647
MultiHI-DeepSequence,full_32_42,Cell01,GRU,True,23,5,19,5,0.25399786970735927,0.21846981633042567,-32.547061327270484
MultiHI-DeepSequence,full_32_42,Cell01,TCN,True,23,5,19,5,0.23252955276513354,0.20705575962859543,-27.11581304753753
MultiHI-DeepSequence,full_32_42,Cell01,TransformerEncoder,True,23,5,19,5,0.08309378720230978,0.06099874848258722,-2.5903058040076457
MultiHI-DeepSequence,full_32_42,Cell03,LSTM,True,22,6,19,5,0.14791442319584874,0.11935168082557412,-12.85730626771952
MultiHI-DeepSequence,full_32_42,Cell03,GRU,True,22,6,19,5,0.23369064240862172,0.19715701635589858,-33.58919159234376
MultiHI-DeepSequence,full_32_42,Cell03,TCN,True,22,6,19,5,0.0736305898555655,0.06145539029159094,-2.433794702762829
MultiHI-DeepSequence,full_32_42,Cell03,TransformerEncoder,True,22,6,19,5,0.17008773076560788,0.13722777349063034,-17.323302063771024
MultiHI-DeepSequence,full_32_42,Cell10,LSTM,True,21,7,19,5,0.20726901553208496,0.1820718528705749,-22.58962086129695
MultiHI-DeepSequence,full_32_42,Cell10,GRU,True,21,7,19,5,0.19591391358060997,0.17890853041004412,-20.075736101431144
MultiHI-DeepSequence,full_32_42,Cell10,TCN,True,21,7,19,5,0.21014901220916965,0.18125759381829828,-23.24972944480555
MultiHI-DeepSequence,full_32_42,Cell10,TransformerEncoder,True,21,7,19,5,0.059998820402646764,0.04977225757090663,-0.9766856786288496
MultiHI-DeepSequence,medium_35_40,Cell01,LSTM,True,23,5,19,5,0.1790235238492652,0.15985565059572165,-15.665353763179805
MultiHI-DeepSequence,medium_35_40,Cell01,GRU,True,23,5,19,5,0.2592304614471306,0.2300193416395754,-33.94349980765319
MultiHI-DeepSequence,medium_35_40,Cell01,TCN,True,23,5,19,5,0.23895850054625709,0.229090744021964,-28.691989828164466
MultiHI-DeepSequence,medium_35_40,Cell01,TransformerEncoder,True,23,5,19,5,0.09432991812612021,0.08099266647285877,-3.6269334097391965
MultiHI-DeepSequence,medium_35_40,Cell03,LSTM,True,22,6,19,5,0.06561207859097666,0.06084985112192524,-1.7266246706392412
MultiHI-DeepSequence,medium_35_40,Cell03,GRU,True,22,6,19,5,0.08102879652664048,0.0765160463746161,-3.1584984536321663
MultiHI-DeepSequence,medium_35_40,Cell03,TCN,True,22,6,19,5,0.08056716939144912,0.07155639831313827,-3.111250869031303
MultiHI-DeepSequence,medium_35_40,Cell03,TransformerEncoder,True,22,6,19,5,0.08901515316258447,0.08205461597353876,-4.018635495555417
MultiHI-DeepSequence,medium_35_40,Cell10,LSTM,True,21,7,19,5,0.1958605898921827,0.17800652658861862,-20.064264909596602
MultiHI-DeepSequence,medium_35_40,Cell10,GRU,True,21,7,19,5,0.2092221685043818,0.17323858008256282,-23.03629855331048
MultiHI-DeepSequence,medium_35_40,Cell10,TCN,True,21,7,19,5,0.25034344506960154,0.23046691861103083,-33.41316687286854
MultiHI-DeepSequence,medium_35_40,Cell10,TransformerEncoder,True,21,7,19,5,0.0695835306506074,0.05274303022266601,-1.6586741531200437
MultiHI-DeepSequence,narrow_36_385,Cell01,LSTM,True,23,5,19,5,0.18215115128539894,0.16227764957338278,-16.252743885773402
MultiHI-DeepSequence,narrow_36_385,Cell01,GRU,True,23,5,19,5,0.1538374221299815,0.1387865530861639,-11.30603998277841
MultiHI-DeepSequence,narrow_36_385,Cell01,TCN,True,23,5,19,5,0.23264375323300132,0.20857441997869008,-27.143436439263624
MultiHI-DeepSequence,narrow_36_385,Cell01,TransformerEncoder,True,23,5,19,5,0.03111435950438031,0.027705780967844217,0.4965966921183459
MultiHI-DeepSequence,narrow_36_385,Cell03,LSTM,True,22,6,19,5,0.033077291195692915,0.03075961266965425,0.30702488338183176
MultiHI-DeepSequence,narrow_36_385,Cell03,GRU,True,22,6,19,5,0.10159204728788611,0.084980323165235,-5.536980534245578
MultiHI-DeepSequence,narrow_36_385,Cell03,TCN,True,22,6,19,5,0.10945559648212155,0.10229282482553859,-6.588111627383273
MultiHI-DeepSequence,narrow_36_385,Cell03,TransformerEncoder,True,22,6,19,5,0.04727086115072697,0.04120636557581318,-0.4152879049792446
MultiHI-DeepSequence,narrow_36_385,Cell10,LSTM,True,21,7,19,5,0.19660250327178938,0.1742822993975143,-20.224148619562918
MultiHI-DeepSequence,narrow_36_385,Cell10,GRU,True,21,7,19,5,0.14270995304990136,0.10174701446960117,-10.183061624561535
MultiHI-DeepSequence,narrow_36_385,Cell10,TCN,True,21,7,19,5,0.21631477502140842,0.18743655914733554,-24.693576412075853
MultiHI-DeepSequence,narrow_36_385,Cell10,TransformerEncoder,True,21,7,19,5,0.033837927940855786,0.03142804691401367,0.3712764701238793
MultiHI-DeepSequence,very_narrow_365_38,Cell01,LSTM,True,23,5,19,5,0.12301748231399119,0.09199078509742761,-6.869153250199664
MultiHI-DeepSequence,very_narrow_365_38,Cell01,GRU,True,23,5,19,5,0.08728918797454346,0.07888115036820645,-2.9620070231592894
MultiHI-DeepSequence,very_narrow_365_38,Cell01,TCN,True,23,5,19,5,0.23607370226417637,0.22274695015294546,-27.97941112772525
MultiHI-DeepSequence,very_narrow_365_38,Cell01,TransformerEncoder,True,23,5,19,5,0.04907817256078779,0.03782569597638914,-0.25248086855634
MultiHI-DeepSequence,very_narrow_365_38,Cell03,LSTM,True,22,6,19,5,0.04953930273545071,0.04289340967944022,-0.5543812407124991
MultiHI-DeepSequence,very_narrow_365_38,Cell03,GRU,True,22,6,19,5,0.029331042805646714,0.026082359559788437,0.45510506062194034
MultiHI-DeepSequence,very_narrow_365_38,Cell03,TCN,True,22,6,19,5,0.12533765420604606,0.10968670141087829,-8.949949845318136
MultiHI-DeepSequence,very_narrow_365_38,Cell03,TransformerEncoder,True,22,6,19,5,0.06556605207766832,0.058813493536046556,-1.7228005878896573
MultiHI-DeepSequence,very_narrow_365_38,Cell10,LSTM,True,21,7,19,5,0.16173149392950442,0.13776656111462943,-13.362875235420415
MultiHI-DeepSequence,very_narrow_365_38,Cell10,GRU,True,21,7,19,5,0.12690601460796938,0.10117140337844534,-7.843345704557791
MultiHI-DeepSequence,very_narrow_365_38,Cell10,TCN,True,21,7,19,5,0.19838721263539727,0.1663020483886358,-20.61123285294952
MultiHI-DeepSequence,very_narrow_365_38,Cell10,TransformerEncoder,True,21,7,19,5,0.05608072062968747,0.04733837905765746,-0.726948405826926
